Month,Sunspots
1749-01,58.00
1749-02,62.60
1749-03,70.00
1749-04,55.70
1749-05,85.00
1749-06,83.50
1749-07,94.80
1749-08,66.30
1749-09,75.90
1749-10,75.50
1749-11,158.60
1749-12,85.20
1750-01,73.30
1750-02,75.90
1750-03,89.20
1750-04,88.30
1750-05,90.00
1750-06,100.00
1750-07,85.40
1750-08,103.00
1750-09,91.20
1750-10,65.70
1750-11,63.30
1750-12,75.40
1751-01,70.00
1751-02,43.50
1751-03,45.30
1751-04,56.40
1751-05,60.70
1751-06,50.70
1751-07,66.30
1751-08,59.80
1751-09,23.50
1751-10,23.20
1751-11,28.50
1751-12,44.00
1752-01,35.00
1752-02,50.00
1752-03,71.00
1752-04,59.30
1752-05,59.70
1752-06,39.60
1752-07,78.40
1752-08,29.30
1752-09,27.10
1752-10,46.60
1752-11,37.60
1752-12,40.00
1753-01,44.00
1753-02,32.00
1753-03,45.70
1753-04,38.00
1753-05,36.00
1753-06,31.70
1753-07,22.20
1753-08,39.00
1753-09,28.00
1753-10,25.00
1753-11,20.00
1753-12,6.70
1754-01,0.00
1754-02,3.00
1754-03,1.70
1754-04,13.70
1754-05,20.70
1754-06,26.70
1754-07,18.80
1754-08,12.30
1754-09,8.20
1754-10,24.10
1754-11,13.20
1754-12,4.20
1755-01,10.20
1755-02,11.20
1755-03,6.80
1755-04,6.50
1755-05,0.00
1755-06,0.00
1755-07,8.60
1755-08,3.20
1755-09,17.80
1755-10,23.70
1755-11,6.80
1755-12,20.00
1756-01,12.50
1756-02,7.10
1756-03,5.40
1756-04,9.40
1756-05,12.50
1756-06,12.90
1756-07,3.60
1756-08,6.40
1756-09,11.80
1756-10,14.30
1756-11,17.00
1756-12,9.40
1757-01,14.10
1757-02,21.20
1757-03,26.20
1757-04,30.00
1757-05,38.10
1757-06,12.80
1757-07,25.00
1757-08,51.30
1757-09,39.70
1757-10,32.50
1757-11,64.70
1757-12,33.50
1758-01,37.60
1758-02,52.00
1758-03,49.00
1758-04,72.30
1758-05,46.40
1758-06,45.00
1758-07,44.00
1758-08,38.70
1758-09,62.50
1758-10,37.70
1758-11,43.00
1758-12,43.00
1759-01,48.30
1759-02,44.00
1759-03,46.80
1759-04,47.00
1759-05,49.00
1759-06,50.00
1759-07,51.00
1759-08,71.30
1759-09,77.20
1759-10,59.70
1759-11,46.30
1759-12,57.00
1760-01,67.30
1760-02,59.50
1760-03,74.70
1760-04,58.30
1760-05,72.00
1760-06,48.30
1760-07,66.00
1760-08,75.60
1760-09,61.30
1760-10,50.60
1760-11,59.70
1760-12,61.00
1761-01,70.00
1761-02,91.00
1761-03,80.70
1761-04,71.70
1761-05,107.20
1761-06,99.30
1761-07,94.10
1761-08,91.10
1761-09,100.70
1761-10,88.70
1761-11,89.70
1761-12,46.00
1762-01,43.80
1762-02,72.80
1762-03,45.70
1762-04,60.20
1762-05,39.90
1762-06,77.10
1762-07,33.80
1762-08,67.70
1762-09,68.50
1762-10,69.30
1762-11,77.80
1762-12,77.20
1763-01,56.50
1763-02,31.90
1763-03,34.20
1763-04,32.90
1763-05,32.70
1763-06,35.80
1763-07,54.20
1763-08,26.50
1763-09,68.10
1763-10,46.30
1763-11,60.90
1763-12,61.40
1764-01,59.70
1764-02,59.70
1764-03,40.20
1764-04,34.40
1764-05,44.30
1764-06,30.00
1764-07,30.00
1764-08,30.00
1764-09,28.20
1764-10,28.00
1764-11,26.00
1764-12,25.70
1765-01,24.00
1765-02,26.00
1765-03,25.00
1765-04,22.00
1765-05,20.20
1765-06,20.00
1765-07,27.00
1765-08,29.70
1765-09,16.00
1765-10,14.00
1765-11,14.00
1765-12,13.00
1766-01,12.00
1766-02,11.00
1766-03,36.60
1766-04,6.00
1766-05,26.80
1766-06,3.00
1766-07,3.30
1766-08,4.00
1766-09,4.30
1766-10,5.00
1766-11,5.70
1766-12,19.20
1767-01,27.40
1767-02,30.00
1767-03,43.00
1767-04,32.90
1767-05,29.80
1767-06,33.30
1767-07,21.90
1767-08,40.80
1767-09,42.70
1767-10,44.10
1767-11,54.70
1767-12,53.30
1768-01,53.50
1768-02,66.10
1768-03,46.30
1768-04,42.70
1768-05,77.70
1768-06,77.40
1768-07,52.60
1768-08,66.80
